,,Final,,,Semi,,,Info,,,Overall #,,,GF #,,,SF #,,
1474,2017,1,0.00%,2017 GF,18,100.00%,2017 SF2,🇮🇱 Israel,IMRI,I Feel Alive,23,42,46.34%,23,26,12.00%,3,18,88.24%
1475,2017,9,32.00%,2017 GF,,,2017 AQ,🇮🇹 Italy,Francesco Gabbani,Occidentali's Karma,6,42,87.80%,6,26,80.00%,,,
1476,2017,16,60.00%,2017 GF,,,2017 AQ,🇪🇸 Spain,Manel Navarro,Do It for Your Lover,26,26,0.00%,26,26,0.00%,,,
1477,2017,18,68.00%,2017 GF,,,2017 AQ,🇬🇧 United Kingdom,Lucie Jones,Never Give Up on You,15,42,65.85%,15,26,44.00%,,,
1478,2017,21,80.00%,2017 GF,,,2017 AQ,🇩🇪 Germany,Levina,Perfect Life,25,26,4.00%,25,26,4.00%,,,
1479,2017,22,84.00%,2017 GF,,,2017 AQ,🇺🇦 Ukraine,O.Torvald,Time,24,26,8.00%,24,26,8.00%,,,
1480,2017,26,100.00%,2017 GF,,,2017 AQ,🇫🇷 France,Alma,Requiem,12,42,73.17%,12,26,56.00%,,,
1483,2018,12,44.00%,2018 GF,3,11.11%,2018 SF1,🇦🇱 Albania,Eugent Bushpepa,Mall,11,43,76.19%,11,26,60.00%,8,19,61.11%
1485,2018,14,52.00%,2018 GF,5,22.22%,2018 SF1,🇨🇿 Czechia,Mikolas Josef,Lie to Me,6,43,88.10%,6,26,80.00%,3,19,88.89%
1486,2018,4,12.00%,2018 GF,6,27.78%,2018 SF1,🇱🇹 Lithuania,Ieva Zasimauskaitė,When We're Old,12,43,73.81%,12,26,56.00%,9,19,55.56%
1487,2018,22,84.00%,2018 GF,7,33.33%,2018 SF1,🇮🇱 Israel,Netta,Toy,1,43,100.00%,1,26,100.00%,1,19,100.00%
1489,2018,6,20.00%,2018 GF,9,44.44%,2018 SF1,🇪🇪 Estonia,Elina Nechayeva,La forza,8,43,83.33%,8,26,72.00%,5,19,77.78%
1490,2018,18,68.00%,2018 GF,10,50.00%,2018 SF1,🇧🇬 Bulgaria,Equinox,Bones,14,43,69.05%,14,26,48.00%,7,19,66.67%
1493,2018,5,16.00%,2018 GF,13,66.67%,2018 SF1,🇦🇹 Austria,Cesár Sampson,Nobody but You,3,43,95.24%,3,26,92.00%,4,19,83.33%
1495,2018,17,64.00%,2018 GF,15,77.78%,2018 SF1,🇫🇮 Finland,Saara Aalto,Monsters,25,43,42.86%,25,26,4.00%,10,19,50.00%
1498,2018,24,92.00%,2018 GF,18,94.44%,2018 SF1,🇮🇪 Ireland,Ryan O'Shaughnessy,Together,16,43,64.29%,16,26,40.00%,6,19,72.22%
1499,2018,25,96.00%,2018 GF,19,100.00%,2018 SF1,🇨🇾 Cyprus,Eleni Foureira,Fuego,2,43,97.62%,2,26,96.00%,2,19,94.44%
1500,2018,7,24.00%,2018 GF,1,0.00%,2018 SF2,🇳🇴 Norway,Alexander Rybak,That's How You Write a Song,15,43,66.67%,15,26,44.00%,1,18,100.00%
1502,2018,10,36.00%,2018 GF,3,11.76%,2018 SF2,🇷🇸 Serbia,Sanja Ilić & Balkanika,Nova deca,19,43,57.14%,19,26,28.00%,9,18,52.94%
1504,2018,15,56.00%,2018 GF,5,23.53%,2018 SF2,🇩🇰 Denmark,Rasmussen,Higher Ground,9,43,80.95%,9,26,68.00%,5,18,76.47%
1506,2018,19,72.00%,2018 GF,7,35.29%,2018 SF2,🇲🇩 Moldova,DoReDoS,My Lucky Day,10,43,78.57%,10,26,64.00%,3,18,88.24%
1507,2018,23,88.00%,2018 GF,8,41.18%,2018 SF2,🇳🇱 Netherlands,Waylon,Outlaw in 'Em,18,43,59.52%,18,26,32.00%,7,18,64.71%
1508,2018,16,60.00%,2018 GF,9,47.06%,2018 SF2,🇦🇺 Australia,Jessica Mauboy,We Got Love,20,43,54.76%,20,26,24.00%,4,18,82.35%
1512,2018,21,80.00%,2018 GF,13,70.59%,2018 SF2,🇭🇺 Hungary,AWS,Viszlát nyár,21,43,52.38%,21,26,20.00%,10,18,47.06%
1514,2018,20,76.00%,2018 GF,15,82.35%,2018 SF2,🇸🇪 Sweden,Benjamin Ingrosso,Dance You Off,7,43,85.71%,7,26,76.00%,2,18,94.12%
1516,2018,3,8.00%,2018 GF,17,94.12%,2018 SF2,🇸🇮 Slovenia,Lea Sirk,"Hvala, ne!",22,43,50.00%,22,26,16.00%,8,18,58.82%
1517,2018,1,0.00%,2018 GF,18,100.00%,2018 SF2,🇺🇦 Ukraine,Mélovin,Under the Ladder,17,43,61.90%,17,26,36.00%,6,18,70.59%
1518,2018,2,4.00%,2018 GF,,,2018 AQ,🇪🇸 Spain,Amaia & Alfred,Tu canción,23,43,47.62%,23,26,12.00%,,,
1519,2018,8,28.00%,2018 GF,,,2018 AQ,🇵🇹 Portugal,Cláudia Pascoal,O jardim,26,26,0.00%,26,26,0.00%,,,
1520,2018,9,32.00%,2018 GF,,,2018 AQ,🇬🇧 United Kingdom,SuRie,Storm,24,43,45.24%,24,26,8.00%,,,
1521,2018,11,40.00%,2018 GF,,,2018 AQ,🇩🇪 Germany,Michael Schulte,You Let Me Walk Alone,4,43,92.86%,4,26,88.00%,,,
1522,2018,13,48.00%,2018 GF,,,2018 AQ,🇫🇷 France,Madame Monsieur,Mercy,13,43,71.43%,13,26,52.00%,,,
1523,2018,26,100.00%,2018 GF,,,2018 AQ,🇮🇹 Italy,Ermal Meta & Fabrizio Moro,Non mi avete fatto niente,5,43,90.48%,5,26,84.00%,,,
1524,2019,11,40.00%,2019 GF,1,0.00%,2019 SF1,🇨🇾 Cyprus,Tamta,Replay,13,41,70.00%,13,26,52.00%,9,17,50.00%
1528,2019,10,36.00%,2019 GF,5,25.00%,2019 SF1,🇸🇮 Slovenia,Zala Kralj & Gašper Šantl,Sebi,15,41,65.00%,15,26,44.00%,6,17,68.75%
1529,2019,3,8.00%,2019 GF,6,31.25%,2019 SF1,🇨🇿 Czechia,Lake Malawi,Friend of a Friend,11,41,75.00%,11,26,60.00%,2,17,93.75%
1531,2019,19,72.00%,2019 GF,8,43.75%,2019 SF1,🇧🇾 Belarus,ZENA,Like It,24,41,42.50%,24,26,8.00%,10,17,43.75%
1532,2019,23,88.00%,2019 GF,9,50.00%,2019 SF1,🇷🇸 Serbia,Nevena Božović,Kruna,18,41,57.50%,18,26,32.00%,7,17,62.50%
1535,2019,25,96.00%,2019 GF,12,68.75%,2019 SF1,🇦🇺 Australia,Kate Miller-Heidke,Zero Gravity,9,41,80.00%,9,26,68.00%,1,17,100.00%
1536,2019,17,64.00%,2019 GF,13,75.00%,2019 SF1,🇮🇸 Iceland,Hatari,Hatrið mun sigra,10,41,77.50%,10,26,64.00%,3,17,87.50%
1537,2019,18,68.00%,2019 GF,14,81.25%,2019 SF1,🇪🇪 Estonia,Victor Crone,Storm,20,41,52.50%,20,26,24.00%,4,17,81.25%
1539,2019,13,48.00%,2019 GF,16,93.75%,2019 SF1,🇬🇷 Greece,Katerine Duska,Better Love,21,41,50.00%,21,26,20.00%,5,17,75.00%
1540,2019,7,24.00%,2019 GF,17,100.00%,2019 SF1,🇸🇲 San Marino,Serhat,Say Na Na Na,19,41,55.00%,19,26,28.00%,8,17,56.25%
1544,2019,24,92.00%,2019 GF,4,17.65%,2019 SF2,🇨🇭 Switzerland,Luca Hänni,She Got Me,4,41,92.50%,4,26,88.00%,4,18,82.35%
1547,2019,6,20.00%,2019 GF,7,35.29%,2019 SF2,🇩🇰 Denmark,Leonora,Love Is Forever,12,41,72.50%,12,26,56.00%,10,18,47.06%
1548,2019,9,32.00%,2019 GF,8,41.18%,2019 SF2,🇸🇪 Sweden,John Lundvik,Too Late for Love,5,41,90.00%,5,26,84.00%,3,18,88.24%
1551,2019,1,0.00%,2019 GF,11,58.82%,2019 SF2,🇲🇹 Malta,Michela,Chameleon,14,41,67.50%,14,26,48.00%,8,18,58.82%
1553,2019,5,16.00%,2019 GF,13,70.59%,2019 SF2,🇷🇺 Russia,Sergey Lazarev,Scream,3,41,95.00%,3,26,92.00%,6,18,70.59%
1554,2019,2,4.00%,2019 GF,14,76.47%,2019 SF2,🇦🇱 Albania,Jonida Maliqi,Ktheju tokës,17,41,60.00%,17,26,36.00%,9,18,52.94%
1555,2019,15,56.00%,2019 GF,15,82.35%,2019 SF2,🇳🇴 Norway,KEiiNO,Spirit in the Sky,6,41,87.50%,6,26,80.00%,7,18,64.71%
1556,2019,12,44.00%,2019 GF,16,88.24%,2019 SF2,🇳🇱 Netherlands,Duncan Laurence,Arcade,1,41,100.00%,1,26,100.00%,1,18,100.00%
1557,2019,8,28.00%,2019 GF,17,94.12%,2019 SF2,🇲🇰 North Macedonia,Tamara Todevska,Proud,7,41,85.00%,7,26,76.00%,2,18,94.12%
1558,2019,20,76.00%,2019 GF,18,100.00%,2019 SF2,🇦🇿 Azerbaijan,Chingiz,Truth,8,41,82.50%,8,26,72.00%,5,18,76.47%
1559,2019,4,12.00%,2019 GF,,,2019 AQ,🇩🇪 Germany,S!sters,Sister,25,26,4.00%,25,26,4.00%,,,
1560,2019,14,52.00%,2019 GF,,,2019 AQ,🇮🇱 Israel,Kobi Marimi,Home,23,41,45.00%,23,26,12.00%,,,
1561,2019,16,60.00%,2019 GF,,,2019 AQ,🇬🇧 United Kingdom,Michael Rice,Bigger than Us,26,26,0.00%,26,26,0.00%,,,
1562,2019,21,80.00%,2019 GF,,,2019 AQ,🇫🇷 France,Bilal Hassani,Roi,16,41,62.50%,16,26,40.00%,,,
1563,2019,22,84.00%,2019 GF,,,2019 AQ,🇮🇹 Italy,Mahmood,Soldi,2,41,97.50%,2,26,96.00%,,,
1564,2019,26,100.00%,2019 GF,,,2019 AQ,🇪🇸 Spain,Miki,La venda,22,41,47.50%,22,26,16.00%,,,
1565,2021,18,68.00%,2021 GF,1,0.00%,2021 SF1,🇱🇹 Lithuania,The Roop,Discoteque,8,39,81.58%,8,26,72.00%,4,16,80.00%
1567,2021,5,16.00%,2021 GF,3,13.33%,2021 SF1,🇷🇺 Russia,Manizha,Russian Woman,9,39,78.95%,9,26,68.00%,3,16,86.67%
1568,2021,25,96.00%,2021 GF,4,20.00%,2021 SF1,🇸🇪 Sweden,Tusse,Voices,14,39,65.79%,14,26,48.00%,7,16,60.00%
1572,2021,1,0.00%,2021 GF,8,46.67%,2021 SF1,🇨🇾 Cyprus,Elena Tsagrinou,El diablo,16,39,60.53%,16,26,40.00%,6,16,66.67%
1573,2021,22,84.00%,2021 GF,9,53.33%,2021 SF1,🇳🇴 Norway,Tix,Fallen Angel,18,39,55.26%,18,26,32.00%,10,16,40.00%
1575,2021,4,12.00%,2021 GF,11,66.67%,2021 SF1,🇧🇪 Belgium,Hooverphonic,The Wrong Place,19,39,52.63%,19,26,28.00%,9,16,46.67%
1576,2021,3,8.00%,2021 GF,12,73.33%,2021 SF1,🇮🇱 Israel,Eden Alene,Set Me Free,17,39,57.89%,17,26,36.00%,5,16,73.33%
1578,2021,21,80.00%,2021 GF,14,86.67%,2021 SF1,🇦🇿 Azerbaijan,Efendi,Mata Hari,20,39,50.00%,20,26,24.00%,8,16,53.33%
1579,2021,19,72.00%,2021 GF,15,93.33%,2021 SF1,🇺🇦 Ukraine,Go_A,Shum,5,39,89.47%,5,26,84.00%,2,16,93.33%
1580,2021,6,20.00%,2021 GF,16,100.00%,2021 SF1,🇲🇹 Malta,Destiny,Je me casse,7,39,84.21%,7,26,76.00%,1,16,100.00%
1581,2021,26,100.00%,2021 GF,1,0.00%,2021 SF2,🇸🇲 San Marino,Senhit,Adrenalina,22,39,44.74%,22,26,16.00%,9,17,50.00%
1584,2021,10,36.00%,2021 GF,4,18.75%,2021 SF2,🇬🇷 Greece,Stefania,Last Dance,10,39,76.32%,10,26,64.00%,6,17,68.75%
1587,2021,14,52.00%,2021 GF,7,37.50%,2021 SF2,🇲🇩 Moldova,Natalia Gordienko,Sugar,13,39,68.42%,13,26,52.00%,7,17,62.50%
1588,2021,12,44.00%,2021 GF,8,43.75%,2021 SF2,🇮🇸 Iceland,Daði og Gagnamagnið,10 Years,4,39,92.11%,4,26,88.00%,2,17,93.75%
1589,2021,8,28.00%,2021 GF,9,50.00%,2021 SF2,🇷🇸 Serbia,Hurricane,Loco Loco,15,39,63.16%,15,26,44.00%,8,17,56.25%
1591,2021,2,4.00%,2021 GF,11,62.50%,2021 SF2,🇦🇱 Albania,Anxhela Peristeri,Karma,21,39,47.37%,21,26,20.00%,10,17,43.75%
1592,2021,7,24.00%,2021 GF,12,68.75%,2021 SF2,🇵🇹 Portugal,The Black Mamba,Love Is on My Side,12,39,71.05%,12,26,56.00%,4,17,81.25%
1593,2021,17,64.00%,2021 GF,13,75.00%,2021 SF2,🇧🇬 Bulgaria,Victoria,Growing Up Is Getting Old,11,39,73.68%,11,26,60.00%,3,17,87.50%
1594,2021,16,60.00%,2021 GF,14,81.25%,2021 SF2,🇫🇮 Finland,Blind Channel,Dark Side,6,39,86.84%,6,26,80.00%,5,17,75.00%
1596,2021,11,40.00%,2021 GF,16,93.75%,2021 SF2,🇨🇭 Switzerland,Gjon's Tears,Tout l'univers,3,39,94.74%,3,26,92.00%,1,17,100.00%
1598,2021,9,32.00%,2021 GF,,,2021 AQ,🇬🇧 United Kingdom,James Newman,Embers,26,26,0.00%,26,26,0.00%,,,
1599,2021,13,48.00%,2021 GF,,,2021 AQ,🇪🇸 Spain,Blas Cantó,Voy a quedarme,24,26,8.00%,24,26,8.00%,,,
1600,2021,15,56.00%,2021 GF,,,2021 AQ,🇩🇪 Germany,Jendrik,I Don't Feel Hate,25,26,4.00%,25,26,4.00%,,,
1601,2021,20,76.00%,2021 GF,,,2021 AQ,🇫🇷 France,Barbara Pravi,Voilà,2,39,97.37%,2,26,96.00%,,,
1602,2021,23,88.00%,2021 GF,,,2021 AQ,🇳🇱 Netherlands,Jeangu Macrooy,Birth of a New Age,23,26,12.00%,23,26,12.00%,,,
1603,2021,24,92.00%,2021 GF,,,2021 AQ,🇮🇹 Italy,Måneskin,Zitti e buoni,1,39,100.00%,1,26,100.00%,,,
1606,2022,14,54.17%,2022 GF,3,12.50%,2022 SF1,🇱🇹 Lithuania,Monika Liu,Sentimentai,14,40,66.67%,14,25,45.83%,7,17,62.50%
1607,2022,5,16.67%,2022 GF,4,18.75%,2022 SF1,🇨🇭 Switzerland,Marius Bear,Boys Do Cry,17,40,58.97%,17,25,33.33%,9,17,50.00%
1609,2022,12,45.83%,2022 GF,6,31.25%,2022 SF1,🇺🇦 Ukraine,Kalush Orchestra,Stefania,1,40,100.00%,1,25,100.00%,1,17,100.00%
1611,2022,11,41.67%,2022 GF,8,43.75%,2022 SF1,🇳🇱 Netherlands,S10,De diepte,11,40,74.36%,11,25,58.33%,2,17,93.75%
1612,2022,19,75.00%,2022 GF,9,50.00%,2022 SF1,🇲🇩 Moldova,Zdob şi Zdub & Advahov Brothers,Trenulețul,7,40,84.62%,7,25,75.00%,8,17,56.25%
1613,2022,3,8.33%,2022 GF,10,56.25%,2022 SF1,🇵🇹 Portugal,Maro,"Saudade, saudade",9,40,79.49%,9,25,66.67%,4,17,81.25%
1617,2022,18,70.83%,2022 GF,14,81.25%,2022 SF1,🇮🇸 Iceland,Systur,Með hækkandi sól,23,40,43.59%,23,25,8.33%,10,17,43.75%
1618,2022,17,66.67%,2022 GF,15,87.50%,2022 SF1,🇬🇷 Greece,Amanda Georgiadi Tenfjord,Die Together,8,40,82.05%,8,25,70.83%,3,17,87.50%
1619,2022,7,25.00%,2022 GF,16,93.75%,2022 SF1,🇳🇴 Norway,Subwoolfer,Give That Wolf a Banana,10,40,76.92%,10,25,62.50%,6,17,68.75%
1620,2022,8,29.17%,2022 GF,17,100.00%,2022 SF1,🇦🇲 Armenia,Rosa Linn,Snap,20,40,51.28%,20,25,20.83%,5,17,75.00%
1621,2022,4,12.50%,2022 GF,1,0.00%,2022 SF2,🇫🇮 Finland,The Rasmus,Jezebel,21,40,48.72%,21,25,16.67%,7,18,64.71%
1623,2022,24,95.83%,2022 GF,3,11.76%,2022 SF2,🇷🇸 Serbia,Konstrakta,In corpore sano,5,40,89.74%,5,25,83.33%,3,18,88.24%
1624,2022,15,58.33%,2022 GF,4,17.65%,2022 SF2,🇦🇿 Azerbaijan,Nadir Rustamli,Fade to Black,16,40,61.54%,16,25,37.50%,10,18,47.06%
1628,2022,21,83.33%,2022 GF,8,41.18%,2022 SF2,🇦🇺 Australia,Sheldon Riley,Not the Same,15,40,64.10%,15,25,41.67%,2,18,94.12%
1632,2022,25,100.00%,2022 GF,12,64.71%,2022 SF2,🇪🇪 Estonia,Stefan,Hope,13,40,69.23%,13,25,50.00%,5,18,76.47%
1633,2022,2,4.17%,2022 GF,13,70.59%,2022 SF2,🇷🇴 Romania,WRS,Llámame,18,40,56.41%,18,25,29.17%,9,18,52.94%
1634,2022,23,91.67%,2022 GF,14,76.47%,2022 SF2,🇵🇱 Poland,Ochman,River,12,40,71.79%,12,25,54.17%,6,18,70.59%
1636,2022,16,62.50%,2022 GF,16,88.24%,2022 SF2,🇧🇪 Belgium,Jérémie Makiese,Miss You,19,40,53.85%,19,25,25.00%,8,18,58.82%
1637,2022,20,79.17%,2022 GF,17,94.12%,2022 SF2,🇸🇪 Sweden,Cornelia Jakobs,Hold Me Closer,4,40,92.31%,4,25,87.50%,1,18,100.00%
1638,2022,1,0.00%,2022 GF,18,100.00%,2022 SF2,🇨🇿 Czechia,We Are Domi,Lights Off,22,40,46.15%,22,25,12.50%,4,18,82.35%
1639,2022,6,20.83%,2022 GF,,,2022 AQ,🇫🇷 France,Alvan & Ahez,Fulenn,24,25,4.17%,24,25,4.17%,,,
1640,2022,9,33.33%,2022 GF,,,2022 AQ,🇮🇹 Italy,Mahmood & Blanco,Brividi,6,40,87.18%,6,25,79.17%,,,
1641,2022,10,37.50%,2022 GF,,,2022 AQ,🇪🇸 Spain,Chanel,SloMo,3,40,94.87%,3,25,91.67%,,,
1642,2022,13,50.00%,2022 GF,,,2022 AQ,🇩🇪 Germany,Malik Harris,Rockstars,25,25,0.00%,25,25,0.00%,,,
1643,2022,22,87.50%,2022 GF,,,2022 AQ,🇬🇧 United Kingdom,Sam Ryder,Space Man,2,40,97.44%,2,25,95.83%,,,
1644,2023,20,76.00%,2023 GF,1,0.00%,2023 SF1,🇳🇴 Norway,Alessandra,Queen of Kings,5,37,88.89%,5,26,84.00%,6,15,64.29%
1646,2023,5,16.00%,2023 GF,3,14.29%,2023 SF1,🇷🇸 Serbia,Luke Black,Samo mi se spava,24,37,36.11%,24,26,8.00%,10,15,35.71%
1648,2023,2,4.00%,2023 GF,5,28.57%,2023 SF1,🇵🇹 Portugal,Mimicat,Ai coração,23,37,38.89%,23,26,12.00%,9,15,42.86%
1650,2023,25,96.00%,2023 GF,7,42.86%,2023 SF1,🇭🇷 Croatia,Let 3,Mama ŠČ!,13,37,66.67%,13,26,52.00%,8,15,50.00%
1651,2023,3,8.00%,2023 GF,8,50.00%,2023 SF1,🇨🇭 Switzerland,Remo Forrer,Watergun,20,37,47.22%,20,26,24.00%,7,15,57.14%
1652,2023,23,88.00%,2023 GF,9,57.14%,2023 SF1,🇮🇱 Israel,Noa Kirel,Unicorn,3,37,94.44%,3,26,92.00%,3,15,85.71%
1653,2023,18,68.00%,2023 GF,10,64.29%,2023 SF1,🇲🇩 Moldova,Pasha Parfeni,Soarele şi luna,18,37,52.78%,18,26,32.00%,5,15,71.43%
1654,2023,9,32.00%,2023 GF,11,71.43%,2023 SF1,🇸🇪 Sweden,Loreen,Tattoo,1,37,100.00%,1,26,100.00%,2,15,92.86%
1656,2023,14,52.00%,2023 GF,13,85.71%,2023 SF1,🇨🇿 Czechia,Vesna,My Sister’s Crown,10,37,75.00%,10,26,64.00%,4,15,78.57%
1658,2023,13,48.00%,2023 GF,15,100.00%,2023 SF1,🇫🇮 Finland,Käärijä,Cha Cha Cha,2,37,97.22%,2,26,96.00%,1,15,100.00%
1660,2023,17,64.00%,2023 GF,2,6.67%,2023 SF2,🇦🇲 Armenia,Brunette,Future Lover,14,37,63.89%,14,26,48.00%,6,16,66.67%
1662,2023,12,44.00%,2023 GF,4,20.00%,2023 SF2,🇪🇪 Estonia,Alika,Bridges,8,37,80.56%,8,26,72.00%,10,16,40.00%
1663,2023,16,60.00%,2023 GF,5,26.67%,2023 SF2,🇧🇪 Belgium,Gustaph,Because of You,7,37,83.33%,7,26,76.00%,8,16,53.33%
1664,2023,7,24.00%,2023 GF,6,33.33%,2023 SF2,🇨🇾 Cyprus,Andrew Lambrou,Break a Broken Heart,12,37,69.44%,12,26,56.00%,7,16,60.00%
1667,2023,4,12.00%,2023 GF,9,53.33%,2023 SF2,🇵🇱 Poland,Blanka,Solo,19,37,50.00%,19,26,28.00%,3,16,86.67%
1668,2023,24,92.00%,2023 GF,10,60.00%,2023 SF2,🇸🇮 Slovenia,Joker Out,Carpe Diem,21,37,44.44%,21,26,20.00%,5,16,73.33%
1671,2023,1,0.00%,2023 GF,13,80.00%,2023 SF2,🇦🇹 Austria,Teya & Salena,Who The Hell Is Edgar?,15,37,61.11%,15,26,44.00%,2,16,93.33%
1672,2023,10,36.00%,2023 GF,14,86.67%,2023 SF2,🇦🇱 Albania,Albina & Familja Kelmendi,Duje,22,37,41.67%,22,26,16.00%,9,16,46.67%
1673,2023,22,84.00%,2023 GF,15,93.33%,2023 SF2,🇱🇹 Lithuania,Monika Linkytė,Stay,11,37,72.22%,11,26,60.00%,4,16,80.00%
1674,2023,15,56.00%,2023 GF,16,100.00%,2023 SF2,🇦🇺 Australia,Voyager,Promise,9,37,77.78%,9,26,68.00%,1,16,100.00%
1675,2023,6,20.00%,2023 GF,,,2023 AQ,🇫🇷 France,La Zarra,Évidemment,16,37,58.33%,16,26,40.00%,,,
1676,2023,8,28.00%,2023 GF,,,2023 AQ,🇪🇸 Spain,Blanca Paloma,Eaea,17,37,55.56%,17,26,36.00%,,,
1677,2023,11,40.00%,2023 GF,,,2023 AQ,🇮🇹 Italy,Marco Mengoni,Due vite,4,37,91.67%,4,26,88.00%,,,
1678,2023,19,72.00%,2023 GF,,,2023 AQ,🇺🇦 Ukraine,Tvorchi,Heart of Steel,6,37,86.11%,6,26,80.00%,,,
1679,2023,21,80.00%,2023 GF,,,2023 AQ,🇩🇪 Germany,Lord of the Lost,Blood and Glitter,26,26,0.00%,26,26,0.00%,,,
1680,2023,26,100.00%,2023 GF,,,2023 AQ,🇬🇧 United Kingdom,Mae Muller,I Wrote a Song,25,26,4.00%,25,26,4.00%,,,
918,2004,,,,1,0.00%,2004 SF,🇫🇮 Finland,Jari Sillanpää,Takes 2 to Tango,28,36,22.86%,,,,14,22,38.10%
919,2004,,,,2,4.76%,2004 SF,🇧🇾 Belarus,Aleksandra & Konstantin,My Galileo,33.5,36,7.14%,,,,19.5,22,11.90%
920,2004,,,,3,9.52%,2004 SF,🇨🇭 Switzerland,Piero Esteriore & The MusicStars,Celebrate,36,36,0.00%,,,,22,22,0.00%
921,2004,,,,4,14.29%,2004 SF,🇱🇻 Latvia,Fomins & Kleins,Dziesma par laimi,31,36,14.29%,,,,17,22,23.81%
922,2004,,,,5,19.05%,2004 SF,🇮🇱 Israel,David D'Or,Leha'amin,25.5,36,30.00%,,,,11.5,22,50.00%
923,2004,,,,6,23.81%,2004 SF,🇦🇩 Andorra,Marta Roure,Jugarem a estimar-nos,32,36,11.43%,,,,18,22,19.05%
924,2004,,,,7,28.57%,2004 SF,🇵🇹 Portugal,Sofia Vitória,Foi magia,29,36,20.00%,,,,15,22,33.33%
926,2004,,,,9,38.10%,2004 SF,🇲🇨 Monaco,Maryon,Notre planète,33.5,36,7.14%,,,,19.5,22,11.90%
929,2004,,,,12,52.38%,2004 SF,🇱🇹 Lithuania,Linas & Simona,What's Happened to Your Love?,30,36,17.14%,,,,16,22,28.57%
933,2004,,,,16,71.43%,2004 SF,🇸🇮 Slovenia,Platin,Stay Forever,35,36,2.86%,,,,21,22,4.76%
934,2004,,,,17,76.19%,2004 SF,🇪🇪 Estonia,Neiokõsõ,Tii,25.5,36,30.00%,,,,11.5,22,50.00%
936,2004,,,,19,85.71%,2004 SF,🇩🇰 Denmark,Tomas Thordarson,Shame on You,27,36,25.71%,,,,13,22,42.86%
954,2005,,,,1,0.00%,2005 SF,🇦🇹 Austria,Global.Kryner,Y así,35,39,10.53%,,,,21,25,16.67%
955,2005,,,,2,4.17%,2005 SF,🇱🇹 Lithuania,Laura & The Lovers,Little by Little,39,39,0.00%,,,,25,25,0.00%
956,2005,,,,3,8.33%,2005 SF,🇵🇹 Portugal,2B,Amar,31,39,21.05%,,,,17,25,33.33%
959,2005,,,,6,20.83%,2005 SF,🇲🇨 Monaco,Lise Darly,Tout de moi,38,39,2.63%,,,,24,25,4.17%
961,2005,,,,8,29.17%,2005 SF,🇧🇾 Belarus,Angelica Agurbash,Love Me Tonight,27,39,31.58%,,,,13,25,50.00%
962,2005,,,,9,33.33%,2005 SF,🇳🇱 Netherlands,Glennis Grace,My Impossible Dream,28.5,39,27.63%,,,,14.5,25,43.75%
963,2005,,,,10,37.50%,2005 SF,🇮🇸 Iceland,Selma,If I Had Your Love,30,39,23.68%,,,,16,25,37.50%
964,2005,,,,11,41.67%,2005 SF,🇧🇪 Belgium,Nuno Resende,Le grand soir,36,39,7.89%,,,,22,25,12.50%
965,2005,,,,12,45.83%,2005 SF,🇪🇪 Estonia,Suntribe,Let's Get Loud,34,39,13.16%,,,,20,25,20.83%
969,2005,,,,16,62.50%,2005 SF,🇫🇮 Finland,Geir Rönning,Why?,32,39,18.42%,,,,18,25,29.17%
971,2005,,,,18,70.83%,2005 SF,🇦🇩 Andorra,Marian van de Wal,La mirada interior,37,39,5.26%,,,,23,25,8.33%
974,2005,,,,21,83.33%,2005 SF,🇧🇬 Bulgaria,Kaffe,Lorraine,33,39,15.79%,,,,19,25,25.00%
975,2005,,,,22,87.50%,2005 SF,🇮🇪 Ireland,Donna & Joe,Love?,28.5,39,27.63%,,,,14.5,25,43.75%
976,2005,,,,23,91.67%,2005 SF,🇸🇮 Slovenia,Omar Naber,Stop,26,39,34.21%,,,,12,25,54.17%
978,2005,,,,25,100.00%,2005 SF,🇵🇱 Poland,Ivan & Delfin,Czarna dziewczyna,25,39,36.84%,,,,11,25,58.33%
994,2006,,,,2,4.55%,2006 SF,🇧🇬 Bulgaria,Mariana Popova,Let Me Cry,31,37,16.67%,,,,17,23,27.27%
995,2006,,,,3,9.09%,2006 SF,🇸🇮 Slovenia,Anžej Dežan,Mr Nobody,30,37,19.44%,,,,16,23,31.82%
996,2006,,,,4,13.64%,2006 SF,🇦🇩 Andorra,Jennifer,Sense tu,37,37,0.00%,,,,23,23,0.00%
997,2006,,,,5,18.18%,2006 SF,🇧🇾 Belarus,Polina Smolova,Mum,36,37,2.78%,,,,22,23,4.55%
998,2006,,,,6,22.73%,2006 SF,🇦🇱 Albania,Luiz Ejlli,Zjarr e ftohtë,28,37,25.00%,,,,14,23,40.91%
999,2006,,,,7,27.27%,2006 SF,🇧🇪 Belgium,Kate Ryan,Je t'adore,26,37,30.56%,,,,12,23,50.00%
1001,2006,,,,9,36.36%,2006 SF,🇨🇾 Cyprus,Annet Artani,Why Angels Cry,29,37,22.22%,,,,15,23,36.36%
1002,2006,,,,10,40.91%,2006 SF,🇲🇨 Monaco,Séverine Ferrer,La Coco-Dance,35,37,5.56%,,,,21,23,9.09%
1004,2006,,,,12,50.00%,2006 SF,🇵🇱 Poland,Ich Troje feat. Real McCoy,Follow My Heart,25,37,33.33%,,,,11,23,54.55%
1009,2006,,,,17,72.73%,2006 SF,🇳🇱 Netherlands,Treble,Amambanda,34,37,8.33%,,,,20,23,13.64%
